Chave,TUD,Stemmer
201300325976443632432,426,RSLPS
201300325976443632432,422,UniNE
201300620000443632564,951,NoStem
201300620000443632564,816,Porter
201300620000443632564,764,RSLP
201300620000443632564,912,RSLPS
201300620000443632564,889,UniNE
201400100047443633012,323,NoStem
201400100047443633012,299,Porter
201400100047443633012,284,RSLP
201400100047443633012,314,RSLPS
201400100047443633012,315,UniNE
201400103721443635301,752,NoStem
201400103721443635301,646,Porter
201400103721443635301,605,RSLP
201400103721443635301,721,RSLPS
201400103721443635301,703,UniNE
201400104698443635041,368,NoStem
201400104698443635041,307,Porter
201400104698443635041,294,RSLP
201400104698443635041,350,RSLPS
201400104698443635041,341,UniNE
201400108534443634741,456,NoStem
201400108534443634741,409,Porter
201400108534443634741,398,RSLP
201400108534443634741,440,RSLPS
201400108534443634741,436,UniNE
201400122252443635301,590,NoStem
201400122252443635301,508,Porter
201400122252443635301,481,RSLP
201400122252443635301,557,RSLPS
201400122252443635301,545,UniNE
201400122948443635041,398,NoStem
201400122948443635041,348,Porter
201400122948443635041,322,RSLP
201400122948443635041,378,RSLPS
201400122948443635041,368,UniNE
201400123003443635301,1139,NoStem
201400123003443635301,943,Porter
201400123003443635301,871,RSLP
201400123003443635301,1068,RSLPS
201400123003443635301,1041,UniNE
201400200425443632291,1181,NoStem
201400200425443632291,983,Porter
201400200425443632291,923,RSLP
201400200425443632291,1119,RSLPS
201400200425443632291,1075,UniNE
201400200531443632302,697,NoStem
201400200531443632302,609,Porter
201400200531443632302,557,RSLP
201400200531443632302,662,RSLPS
201400200531443632302,646,UniNE
201400200736443635681,752,NoStem
201400200736443635681,632,Porter
201400200736443635681,579,RSLP
201400200736443635681,708,RSLPS
201400200736443635681,693,UniNE
201400201051443632711,772,NoStem
201400201051443632711,666,Porter
201400201051443632711,628,RSLP
201400201051443632711,733,RSLPS
201400201051443632711,713,UniNE
201400201082443632591,407,NoStem
201400201082443632591,356,Porter
201400201082443632591,335,RSLP
201400201082443632591,392,RSLPS
201400201082443632591,383,UniNE
201400201086443640331,1066,NoStem
201400201086443640331,892,Porter
201400201086443640331,828,RSLP
201400201086443640331,985,RSLPS
201400201086443640331,961,UniNE
201400201610443632451,657,NoStem
201400201610443632451,577,Porter
201400201610443632451,536,RSLP
201400201610443632451,631,RSLPS
