Chave,TUD,Stemmer
201501010419371641471,419,NoStem
201501010419371641471,380,Porter
201501010419371641471,356,RSLP
201501010419371641471,401,RSLPS
201501010419371641471,399,UniNE
201501010422371641471,385,NoStem
201501010422371641471,356,Porter
201501010422371641471,336,RSLP
201501010422371641471,372,RSLPS
201501010422371641471,369,UniNE
201501008714371641391,487,NoStem
201501008714371641391,444,Porter
201501008714371641391,422,RSLP
201501008714371641391,464,RSLPS
201501008714371641391,460,UniNE
201501010252371641391,797,NoStem
201501010252371641391,685,Porter
201501010252371641391,629,RSLP
201501010252371641391,747,RSLPS
201501010252371641391,723,UniNE
201501010334371641391,754,NoStem
201501010334371641391,646,Porter
201501010334371641391,598,RSLP
201501010334371641391,715,RSLPS
201501010334371641391,696,UniNE
201501006283371641341,472,NoStem
201501006283371641341,418,Porter
201501006283371641341,389,RSLP
201501006283371641341,453,RSLPS
201501006283371641341,449,UniNE
201501007704371641341,492,NoStem
201501007704371641341,427,Porter
201501007704371641341,394,RSLP
201501007704371641341,463,RSLPS
201501007704371641341,451,UniNE
201501008557371641341,318,NoStem
201501008557371641341,291,Porter
201501008557371641341,270,RSLP
201501008557371641341,302,RSLPS
201501008557371641341,301,UniNE
201501008622371641341,514,NoStem
201501008622371641341,457,Porter
201501008622371641341,428,RSLP
201501008622371641341,494,RSLPS
201501008622371641341,482,UniNE
201501008775371641341,385,NoStem
201501008775371641341,354,Porter
201501008775371641341,335,RSLP
201501008775371641341,373,RSLPS
201501008775371641341,372,UniNE
201501000126371641321,294,NoStem
201501000126371641321,277,Porter
201501000126371641321,258,RSLP
201501000126371641321,285,RSLPS
201501000126371641321,285,UniNE
201501007392371641321,641,NoStem
201501007392371641321,556,Porter
201501007392371641321,525,RSLP
201501007392371641321,605,RSLPS
201501007392371641321,594,UniNE
201501008374371641321,557,NoStem
201501008374371641321,487,Porter
201501008374371641321,456,RSLP
201501008374371641321,532,RSLPS
201501008374371641321,520,UniNE
201501009164371641321,873,NoStem
201501009164371641321,733,Porter
201501009164371641321,677,RSLP
201501009164371641321,818,RSLPS
201501009164371641321,792,UniNE
201501009734371641321,677,NoStem
201501009734371641321,596,Porter
201501009734371641321,559,RSLP
201501009734371641321,650,RSLPS
201501009734371641321,635,UniNE
201501009821371641321,610,NoStem
201501009821371641321,529,Porter
201501009821371641321,502,RSLP
201501009821371641321,586,RSLPS
201501009821371641321,568,UniNE
201501009848371641321,840,NoStem
201501009848371641321,728,Porter
201501009848371641321,679,RSLP
201501009848371641321,796,RSLPS
201501009848371641321,779,UniNE
201501009927371641321,837,NoStem
201501009927371641321,715,Porter
201501009927371641321,652,RSLP
201501009927371641321,785,RSLPS
201501009927371641321,759,UniNE
201501009930371641321,775,NoStem
201501009930371641321,648,Porter
201501009930371641321,605,RSLP
201501009930371641321,724,RSLPS
201501009930371641321,700,UniNE
201601002823371641321,330,NoStem
201601002823371641321,306,Porter
201601002823371641321,290,RSLP
201601002823371641321,322,RSLPS
201601002823371641321,320,UniNE
201501009532371641251,605,NoStem
201501009532371641251,528,Porter
201501009532371641251,497,RSLP
201501009532371641251,578,RSLPS
201501009532371641251,570,UniNE
201501009685371641251,710,NoStem
201501009685371641251,617,Porter
201501009685371641251,567,RSLP
201501009685371641251,667,RSLPS
201501009685371641251,649,UniNE
201501009703371641251,920,NoStem
201501009703371641251,786,Porter
201501009703371641251,727,RSLP
201501009703371641251,865,RSLPS
201501009703371641251,835,UniNE
201501007256371641201,1171,NoStem
