Chave,TUD,Stemmer
201101002119371624651,428,NoStem
201101002119371624651,390,Porter
201101002119371624651,364,RSLP
201101002119371624651,412,RSLPS
201101002119371624651,409,UniNE
201201000002371624691,416,NoStem
201201000002371624691,380,Porter
201201000002371624691,357,RSLP
201201000002371624691,398,RSLPS
201201000002371624691,392,UniNE
201101002203371624741,255,NoStem
201101002203371624741,241,Porter
201101002203371624741,227,RSLP
201101002203371624741,247,RSLPS
201101002203371624741,246,UniNE
201101001851371624741,215,NoStem
201101001851371624741,204,Porter
201101001851371624741,193,RSLP
201101001851371624741,208,RSLPS
201101001851371624741,208,UniNE
201101002208371624741,213,NoStem
201101002208371624741,202,Porter
201101002208371624741,191,RSLP
201101002208371624741,206,RSLPS
201101002208371624741,206,UniNE
201100800837371624871,346,NoStem
201100800837371624871,326,Porter
201100800837371624871,308,RSLP
201100800837371624871,331,RSLPS
201100800837371624871,330,UniNE
201101001174371624891,752,NoStem
201101001174371624891,645,Porter
201101001174371624891,593,RSLP
201101001174371624891,701,RSLPS
201101001174371624891,688,UniNE
201101001284371624891,754,NoStem
201101001284371624891,647,Porter
201101001284371624891,596,RSLP
201101001284371624891,703,RSLPS
201101001284371624891,690,UniNE
201101001766371624891,746,NoStem
201101001766371624891,640,Porter
201101001766371624891,588,RSLP
201101001766371624891,695,RSLPS
201101001766371624891,682,UniNE
201101001980371624891,756,NoStem
201101001980371624891,647,Porter
201101001980371624891,595,RSLP
201101001980371624891,705,RSLPS
201101001980371624891,690,UniNE
201101002426371624891,253,NoStem
201101002426371624891,241,Porter
201101002426371624891,226,RSLP
201101002426371624891,244,RSLPS
201101002426371624891,246,UniNE
201101001113371624901,385,NoStem
201101001113371624901,360,Porter
201101001113371624901,343,RSLP
201101001113371624901,375,RSLPS
201101001113371624901,374,UniNE
201101001799371624921,812,NoStem
201101001799371624921,691,Porter
201101001799371624921,637,RSLP
201101001799371624921,754,RSLPS
201101001799371624921,738,UniNE
201201000356371624931,746,NoStem
201201000356371624931,642,Porter
201201000356371624931,592,RSLP
201201000356371624931,696,RSLPS
201201000356371624931,684,UniNE
201101001861371624931,817,NoStem
201101001861371624931,692,Porter
201101001861371624931,639,RSLP
201101001861371624931,755,RSLPS
201101001861371624931,736,UniNE
201201000296371624931,752,NoStem
201201000296371624931,646,Porter
201201000296371624931,595,RSLP
201201000296371624931,702,RSLPS
201201000296371624931,688,UniNE
201201000160371624931,752,NoStem
201201000160371624931,646,Porter
201201000160371624931,595,RSLP
201201000160371624931,702,RSLPS
201201000160371624931,688,UniNE
201201000054371624931,752,NoStem
201201000054371624931,646,Porter
201201000054371624931,596,RSLP
201201000054371624931,702,RSLPS
201201000054371624931,688,UniNE
201201000674371624931,753,NoStem
201201000674371624931,647,Porter
201201000674371624931,596,RSLP
201201000674371624931,703,RSLPS
201201000674371624931,689,UniNE
201201000644371624963,422,NoStem
201201000644371624963,384,Porter
201201000644371624963,356,RSLP
201201000644371624963,400,RSLPS
201201000644371624963,396,UniNE
201201000191371624971,318,NoStem
201201000191371624971,295,Porter
201201000191371624971,278,RSLP
201201000191371624971,301,RSLPS
201201000191371624971,303,UniNE
201201000613371625003,440,NoStem
201201000613371625003,393,Porter
201201000613371625003,362,RSLP
201201000613371625003,416,RSLPS
201201000613371625003,414,UniNE
201201000383371625001,825,NoStem
201201000383371625001,702,Porter
201201000383371625001,647,RSLP
201201000383371625001,767,RSLPS
201201000383371625001,750,UniNE
201101002031371625021,835,NoStem
201101002031371625021,705,Porter
201101002031371625021,649,RSLP
201101002031371625021,775,RSLPS
201101002031371625021,757,UniNE
201201000475371625021,185,NoStem
201201000475371625021,175,Porter
201201000475371625021,165,RSLP
201201000475371625021,180,RSLPS
201201000475371625021,182,UniNE
201101002257371625031,775,NoStem
201101002257371625031,655,Porter
201101002257371625031,612,RSLP
201101002257371625031,723,RSLPS
201101002257371625031,708,UniNE
201201000925371625041,407,NoStem
201201000925371625041,374,Porter
201201000925371625041,351,RSLP
201201000925371625041,390,RSLPS
201201000925371625041,387,UniNE
201201000670371625101,629,NoStem
201201000670371625101,546,Porter
201201000670371625101,508,RSLP
201201000670371625101,586,RSLPS
201201000670371625101,574,UniNE
201201000586371625101,624,NoStem
201201000586371625101,541,Porter
201201000586371625101,504,RSLP
201201000586371625101,580,RSLPS
201201000586371625101,570,UniNE
201201000817371625101,622,NoStem
201201000817371625101,539,Porter
201201000817371625101,502,RSLP
201201000817371625101,579,RSLPS
201201000817371625101,569,UniNE
201201000944371625101,628,NoStem
201201000944371625101,545,Porter
201201000944371625101,507,RSLP
201201000944371625101,585,RSLPS
201201000944371625101,573,UniNE
201201000575371625111,356,NoStem
201201000575371625111,333,Porter
201201000575371625111,318,RSLP
