Chave,TUD,Stemmer
201400307281371632872,288,RSLPS
201400307281371632872,286,UniNE
201400311149371634971,92,NoStem
201400311149371634971,88,Porter
201400311149371634971,84,RSLP
201400311149371634971,87,RSLPS
201400311149371634971,89,UniNE
201400311288371633295,381,NoStem
201400311288371633295,341,Porter
201400311288371633295,327,RSLP
201400311288371633295,368,RSLPS
201400311288371633295,364,UniNE
201400312392371634241,115,NoStem
201400312392371634241,109,Porter
201400312392371634241,101,RSLP
201400312392371634241,110,RSLPS
201400312392371634241,111,UniNE
201400312718371635011,275,NoStem
201400312718371635011,258,Porter
201400312718371635011,246,RSLP
201400312718371635011,266,RSLPS
201400312718371635011,267,UniNE
201400312902371633891,309,NoStem
201400312902371633891,283,Porter
201400312902371633891,280,RSLP
201400312902371633891,305,RSLPS
201400312902371633891,297,UniNE
201400313722371633921,236,NoStem
201400313722371633921,221,Porter
201400313722371633921,213,RSLP
201400313722371633921,233,RSLPS
201400313722371633921,228,UniNE
201400314570371633781,416,NoStem
201400314570371633781,387,Porter
201400314570371633781,368,RSLP
201400314570371633781,406,RSLPS
201400314570371633781,403,UniNE
201400315805371633921,299,NoStem
201400315805371633921,276,Porter
201400315805371633921,266,RSLP
201400315805371633921,292,RSLPS
201400315805371633921,291,UniNE
201400315890371634551,156,NoStem
201400315890371634551,148,Porter
201400315890371634551,145,RSLP
201400315890371634551,155,RSLPS
201400315890371634551,155,UniNE
201400315900371633961,186,NoStem
201400315900371633961,176,Porter
201400315900371633961,168,RSLP
201400315900371633961,183,RSLPS
201400315900371633961,184,UniNE
201400316890371634031,310,NoStem
201400316890371634031,283,Porter
201400316890371634031,277,RSLP
201400316890371634031,302,RSLPS
201400316890371634031,299,UniNE
201400317504371634051,109,NoStem
201400317504371634051,106,Porter
201400317504371634051,98,RSLP
201400317504371634051,106,RSLPS
201400317504371634051,107,UniNE
201400318259371637701,22,NoStem
201400318259371637701,22,Porter
201400318259371637701,22,RSLP
201400318259371637701,22,RSLPS
201400318259371637701,22,UniNE
201400318376371634471,309,NoStem
201400318376371634471,295,Porter
201400318376371634471,283,RSLP
201400318376371634471,304,RSLPS
201400318376371634471,304,UniNE
201400318646371634194,292,NoStem
201400318646371634194,278,Porter
201400318646371634194,267,RSLP
201400318646371634194,289,RSLPS
201400318646371634194,289,UniNE
201400319085371634391,354,NoStem
201400319085371634391,327,Porter
201400319085371634391,314,RSLP
201400319085371634391,342,RSLPS
201400319085371634391,340,UniNE
201400319776371634401,345,NoStem
201400319776371634401,323,Porter
201400319776371634401,302,RSLP
201400319776371634401,338,RSLPS
201400319776371634401,343,UniNE
201400320299371634401,81,NoStem
201400320299371634401,78,Porter
201400320299371634401,72,RSLP
201400320299371634401,80,RSLPS
201400320299371634401,80,UniNE
201400320398371634551,175,NoStem
201400320398371634551,168,Porter
201400320398371634551,162,RSLP
201400320398371634551,170,RSLPS
201400320398371634551,169,UniNE
201400322910371635121,258,NoStem
201400322910371635121,241,Porter
201400322910371635121,231,RSLP
201400322910371635121,252,RSLPS
201400322910371635121,253,UniNE
201400323052371635022,155,NoStem
201400323052371635022,148,Porter
201400323052371635022,144,RSLP
201400323052371635022,152,RSLPS
201400323052371635022,155,UniNE
201400323323371634751,434,NoStem
201400323323371634751,399,Porter
201400323323371634751,375,RSLP
201400323323371634751,414,RSLPS
201400323323371634751,410,UniNE
201400323390371634971,299,NoStem
201400323390371634971,268,Porter
201400323390371634971,258,RSLP
201400323390371634971,292,RSLPS
201400323390371634971,287,UniNE
201400324026371634811,366,NoStem
201400324026371634811,339,Porter
201400324026371634811,316,RSLP
201400324026371634811,350,RSLPS
201400324026371634811,347,UniNE
201400324787371634941,436,NoStem
201400324787371634941,395,Porter
201400324787371634941,364,RSLP
201400324787371634941,419,RSLPS
201400324787371634941,412,UniNE
201400326759371636382,187,NoStem
201400326759371636382,183,Porter
201400326759371636382,178,RSLP
201400326759371636382,186,RSLPS
201400326759371636382,185,UniNE
201400326838371635171,242,NoStem
201400326838371635171,228,Porter
201400326838371635171,216,RSLP
201400326838371635171,238,RSLPS
201400326838371635171,235,UniNE
201400327987371635381,264,NoStem
201400327987371635381,249,Porter
201400327987371635381,236,RSLP
201400327987371635381,257,RSLPS
201400327987371635381,258,UniNE
201400328749371636081,171,NoStem
201400328749371636081,161,Porter
201400328749371636081,158,RSLP
201400328749371636081,169,RSLPS
201400328749371636081,167,UniNE
201500300829371636091,170,NoStem
201500300829371636091,163,Porter
201500300829371636091,158,RSLP
201500300829371636091,168,RSLPS
201500300829371636091,167,UniNE
201500302238371636382,161,NoStem
201500302238371636382,153,Porter
201500302238371636382,147,RSLP
201500302238371636382,159,RSLPS
201500302238371636382,157,UniNE
201500302269371635891,224,NoStem
201500302269371635891,210,Porter
