Chave,TUD,Stemmer
201400114321371641482,50,NoStem
201400114321371641482,50,Porter
201400114321371641482,49,RSLP
201400114321371641482,49,RSLPS
201400114321371641482,50,UniNE
201400114769371633821,377,NoStem
201400114769371633821,347,Porter
201400114769371633821,331,RSLP
201400114769371633821,363,RSLPS
201400114769371633821,363,UniNE
201400115062371633831,308,NoStem
201400115062371633831,285,Porter
201400115062371633831,270,RSLP
201400115062371633831,300,RSLPS
201400115062371633831,298,UniNE
201400116383371633921,317,NoStem
201400116383371633921,294,Porter
201400116383371633921,280,RSLP
201400116383371633921,308,RSLPS
201400116383371633921,307,UniNE
201400117271371634041,465,NoStem
201400117271371634041,411,Porter
201400117271371634041,394,RSLP
201400117271371634041,447,RSLPS
201400117271371634041,436,UniNE
201400119195371634381,434,NoStem
201400119195371634381,401,Porter
201400119195371634381,383,RSLP
201400119195371634381,423,RSLPS
201400119195371634381,419,UniNE
201400119547371634331,309,NoStem
201400119547371634331,285,Porter
201400119547371634331,272,RSLP
201400119547371634331,299,RSLPS
201400119547371634331,298,UniNE
201400121724371636361,464,NoStem
201400121724371636361,416,Porter
201400121724371636361,397,RSLP
201400121724371636361,452,RSLPS
201400121724371636361,446,UniNE
201400124588371636792,226,NoStem
201400124588371636792,211,Porter
201400124588371636792,198,RSLP
201400124588371636792,220,RSLPS
201400124588371636792,214,UniNE
201400126899371636551,306,NoStem
201400126899371636551,281,Porter
201400126899371636551,256,RSLP
201400126899371636551,285,RSLPS
201400126899371636551,283,UniNE
201400129388371636641,224,NoStem
201400129388371636641,207,Porter
201400129388371636641,196,RSLP
201400129388371636641,220,RSLPS
201400129388371636641,215,UniNE
201500101106371637812,53,NoStem
201500101106371637812,52,Porter
201500101106371637812,50,RSLP
201500101106371637812,50,RSLPS
201500101106371637812,52,UniNE
201500101202371636101,492,NoStem
201500101202371636101,451,Porter
201500101202371636101,418,RSLP
201500101202371636101,478,RSLPS
201500101202371636101,471,UniNE
201500101576371635771,293,NoStem
201500101576371635771,275,Porter
201500101576371635771,267,RSLP
201500101576371635771,285,RSLPS
201500101576371635771,282,UniNE
201500104165371636091,50,NoStem
201500104165371636091,50,Porter
201500104165371636091,50,RSLP
201500104165371636091,50,RSLPS
201500104165371636091,50,UniNE
201500105652371636491,641,NoStem
201500105652371636491,573,Porter
201500105652371636491,544,RSLP
201500105652371636491,623,RSLPS
201500105652371636491,608,UniNE
201500106329371636371,186,NoStem
201500106329371636371,176,Porter
201500106329371636371,163,RSLP
201500106329371636371,179,RSLPS
201500106329371636371,179,UniNE
201500108702371636721,233,NoStem
201500108702371636721,217,Porter
201500108702371636721,205,RSLP
201500108702371636721,226,RSLPS
201500108702371636721,227,UniNE
